Distance Group,Sampling Timestamp,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Mercury Dissolved,Mercury Total,Methyl Mercury,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Kjeldahl Dissolved,Nitrogen Kjeldahl Total,pH,pH (Field),Phosphorus Total,Phosphorus Total Dissolved,Turbidity,Vanadium Total Recoverable,Vanadium Dissolved,OXYGEN BIOCHEMICAL DEMAND,Oxygen Dissolved (Field Meter),Oxygen dissolved % saturation,Site Name,Unit Symbol
Mid,08/18/2021 03:15 PM,,,23.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/16/2022 07:20 AM,,,22.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/24/2003 12:00 PM,,,,38.6,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/26/2004 12:00 PM,,,,17.6,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/24/2004 03:05 PM,,,,18.1,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/22/2005 12:00 PM,,,,15.4,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/30/2005 08:55 AM,,,,15.2,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/23/2006 12:00 PM,,,,16.7,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/14/2006 12:00 PM,,,,18.8,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/23/2007 09:45 AM,,,,18.4,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/11/2007 12:00 PM,,,,18.5,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/05/2008 12:15 PM,,,,18.9,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/17/2009 09:25 AM,,,,28.4,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/17/2009 04:15 PM,,,,19.3,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/18/2009 12:00 PM,,,,22.0,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/31/2010 03:45 PM,,,,17.5,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/01/2011 08:30 AM,,,,18.7,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/10/2011 12:00 PM,,,,19.6,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/26/2012 03:45 PM,,,,20.4,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/08/2012 12:00 PM,,,,20.5,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/28/2013 01:10 PM,,,,19.1,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/07/2013 12:00 PM,,,,19.4,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/18/2014 04:00 PM,,,,19.0,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/11/2014 12:00 PM,,,,20.1,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/29/2015 07:30 AM,,,,21.1,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/15/2016 12:00 PM,,,,33.1,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/19/2016 12:00 PM,,,,15.3,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/26/2016 11:45 AM,,,,24.7,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/20/2016 12:00 PM,,,,23.6,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/13/2017 12:00 PM,,,,43.6,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/25/2017 07:45 AM,,,,24.3,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/18/2020 10:40 AM,,,,18.4,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/17/2009 09:25 AM,,,,30.6,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/15/2016 12:00 PM,,,,39.0,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/19/2016 12:00 PM,,,,23.0,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/20/2016 12:00 PM,,,,24.0,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/13/2017 12:00 PM,,,,47.0,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/24/2003 12:00 PM,,,,,5.4,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/26/2004 12:00 PM,,,,,0.17,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/24/2004 03:05 PM,,,,,0.118,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/22/2005 12:00 PM,,,,,0.1,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/14/2006 12:00 PM,,,,,0.234,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/23/2007 09:45 AM,,,,,0.13,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/11/2007 12:00 PM,,,,,0.16,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/05/2008 12:15 PM,,,,,0.24,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/17/2009 09:25 AM,,,,,0.316,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/17/2009 04:15 PM,,,,,0.174,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/18/2009 12:00 PM,,,,,0.41,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/31/2010 03:45 PM,,,,,0.127,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/01/2011 08:30 AM,,,,,0.166,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/10/2011 12:00 PM,,,,,0.362,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/26/2012 03:45 PM,,,,,0.342,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/08/2012 12:00 PM,,,,,0.1,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/28/2013 01:10 PM,,,,,0.131,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/07/2013 12:00 PM,,,,,0.113,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/18/2014 04:00 PM,,,,,0.08,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/11/2014 12:00 PM,,,,,0.36,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/29/2015 07:30 AM,,,,,0.1,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/15/2016 12:00 PM,,,,,0.19,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/19/2016 12:00 PM,,,,,0.21,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/26/2016 11:45 AM,,,,,0.23,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/20/2016 12:00 PM,,,,,0.18,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/13/2017 12:00 PM,,,,,0.18,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/25/2017 07:45 AM,,,,,0.12,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/18/2020 10:40 AM,,,,,0.08,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/18/2021 03:15 PM,,,,,0.13,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/16/2022 07:20 AM,,,,,0.13,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/24/2003 12:00 PM,,,,,,7.7,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/26/2004 12:00 PM,,,,,,0.223,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/24/2004 03:05 PM,,,,,,0.166,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/22/2005 12:00 PM,,,,,,0.1,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/30/2005 08:55 AM,,,,,,0.2,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/23/2006 12:00 PM,,,,,,0.488,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
